user,time,tweet,latitude,longitude
begelpanduhh,Thu Mar 05 03:42:26 +0000 2015,"RT @5SOS_Daily: ""i bought my fake I.D. for you... Obama"" #5soslyrics #vote5sos #kca http://t.co/r5zaTUzbi5",,
fyerrick,Thu Mar 05 03:42:26 +0000 2015,New York Times: Netanyahu Speech Makes Iran Deal A Tougher Sell For Obama - Breitbart http://t.co/o7WiOQTQYa via @BreitbartNews,,
stbythec,Thu Mar 05 03:42:25 +0000 2015,RT @RedNationRising: Attkisson: Obama Official 'Specifically Told' Avoid Email Records by Texting  http://t.co/IcHOKSssaK via @BreitbartNew,,
CloseMoreDeals1,Thu Mar 05 03:42:25 +0000 2015,"RT @PatDollard: EXPOSED - Obama: ""I Don't Believe People Should Be Able To Own Guns"" http://t.co/7F4Sy1nvcs   #tcot #pjnet #lnyhbt #tgdn #g",,
LisaCruiseprof,Thu Mar 05 03:42:25 +0000 2015,RT @ThatsMsSandy2U: TY to those that supported #NetanyahuSpeech. Glaringly apparent was the #emptychair of #Obama &amp; his panderers #PJNET ht,,
Ron_Hutchcraft,Thu Mar 05 03:42:24 +0000 2015,RT @RepRichHudson: Join me to stop Obama's crusade to restrict our #2A rights! Tell @ATFHQ we oppose its misguided #ammoban #tcot #pjnet ht,,
JDtheBard,Thu Mar 05 03:42:24 +0000 2015,RT @GregAbbott_TX: BREAKING: Obama Admin. misled Fed. Court &amp; issued thousands of amnesty documents illegally. Time for Contempt. #tcot #tx,,
cwagner75,Thu Mar 05 03:42:24 +0000 2015,"RT @JohnFromCranber: Obama WH Prepared to Rely on Iran For Regional Stability in Iraq, Afghanistan, Syria http://t.co/ZnpQczvBtT ISLAMIC CA",,
clairecatmeow,Thu Mar 05 03:42:23 +0000 2015,RT @ProBirdRights: it not a orange rind it disguise shh. hello it I John Boner I am congress also I invite bird to mak speech lambast that ,,
illinoisMarc,Thu Mar 05 03:42:23 +0000 2015,RT @scookstlmo: @illinoisMarc @GoJamielsLawGo @oreillyfactor @seanhannity @JDBmsnbc Lame stream media &amp; Obama WH ignores bc doesn't fit lib,,
MassageTables4U,Thu Mar 05 03:42:23 +0000 2015,"RT @Digitalincworld: ""Will Obama Step Down?"" Find out what the Democrats don't want you to know. Read this now. http://t.co/qUKmPeGvml",,
PoliticsPeach,Thu Mar 05 03:42:22 +0000 2015,.@totalpkg1969 @mikeson30 @Tuniekc @Real_Julz @TLTESQ37 SIGN: Letter to Obama: Ferguson is America http://t.co/adIRyVRkYk. #FergusonReport,,
tum0rthrone,Thu Mar 05 03:42:22 +0000 2015,RT @CRG_CRM: Netanyahu is using both fear and the US Congress as a stage to give a performance for Israeli voters to make sure... http://t.,,
JaySoLoco,Thu Mar 05 03:42:21 +0000 2015,"RT @HuffPostGreen: Senate tries, and fails, to override Obama's Keystone XL veto http://t.co/uSpg4SBLDs",,
surfpenquin,Thu Mar 05 03:42:20 +0000 2015,"Why is Obama, Clinton, Reed, Pelosi &amp; most DemocRATs so dangerous? Dr. Ben Carson (2016?) will tell you the truth.... http://t.co/PZN4tYyMGq",,
AlienRedrum,Thu Mar 05 03:42:20 +0000 2015,"RT @danimgrace: Biden: WOOO FREE INTERNET Obama: Joe, would you cut it-Biden: SET LOOSE THE LLAMASObama: CAN YOU JUST-Biden: RELEASE NA",,
0ryuge,Thu Mar 05 03:42:20 +0000 2015,@Will_Antonin And now Netanyahu is trying to pressure poor Obama into spreading climate change to Iran!,,
HanaDeIRey,Thu Mar 05 03:42:19 +0000 2015,"RT @BarackObama: ""Every girl deserves an education."" President Obama #LetGirlsLearn http://t.co/9L7MTiYog6",,
ttbirds41,Thu Mar 05 03:42:19 +0000 2015,"RT @LindaSuhler: Obama Lied, Our Health Plans Died#ObamaCare: Not Just A Bad Idea--It's Bad MEDICINE!#FullRepeal#StopObamaCare http://",,
vrvzps,Thu Mar 05 03:42:19 +0000 2015,RT @robfit: New York Times: #Netanyahu Speech Makes Iran Deal A Tougher Sell For Obama     http://t.co/WlC2Hznt8p #tcot,,
MarielLazcano,Thu Mar 05 03:42:19 +0000 2015,"RT @5SOS_Daily: ""i bought my fake I.D. for you... Obama"" #5soslyrics #vote5sos #kca http://t.co/r5zaTUzbi5",,
Stredni_trida,Thu Mar 05 03:42:18 +0000 2015,@WSCP1 @CANARYorg #populism &amp; #socialism in the #USA thx to #Obama and ppl behind him hidden in shadows of #MSMM.,,
